,movieID,title,platform,budget,box_office
383,Movie383,The Kid with the Golden Arm,amazon,,
384,Movie384,The Kid From Brooklyn,amazon,,
385,Movie385,The Keeping Room,amazon,,"$31,168"
386,Movie386,The Jupiter Enigma,amazon,,
387,Movie387,The Judge,amazon,,
388,Movie388,The Joneses,amazon,$10 million,$7 million
389,Movie389,The Job,amazon,,
390,Movie390,The Jazz Singer,amazon,"$422,000",$2.6 million 
391,Movie391,The Italian Job (1969),amazon,,
392,Movie392,The Iron Mask,amazon,,$1.5 million
393,Movie393,The Irish Comedy Tour,amazon,,
394,Movie394,The Informer,amazon,,
395,Movie395,The In Crowd,amazon,,
396,Movie396,The Immortalists,amazon,,
397,Movie397,The Identity Theft Of Mitch Mustain,amazon,,
398,Movie398,The Hunting of the President,amazon,,
399,Movie399,The Hungry,amazon,,
400,Movie400,The House of Suh,amazon,,
401,Movie401,The Hound of the Baskervilles,amazon,,
402,Movie402,The Hottie and the Nottie,amazon,$9 million,$1.6 million
403,Movie403,The Hollow Child,amazon,,
404,Movie404,The Hold Steady,amazon,,
405,Movie405,The Hitch Hiker,amazon,,
406,Movie406,The Hidden Secrets: Gangsters of the 1920s and 1930s,amazon,,
407,Movie407,The Hero,amazon,,
408,Movie408,The Haunting of Sharon Tate,amazon,,
409,Movie409,The Hard Corps,amazon,,
410,Movie410,The Guv'nor,amazon,,
411,Movie411,The Green Glove,amazon,,
412,Movie412,The Great War,amazon,,
413,Movie413,The Great God Gold,amazon,,
414,Movie414,The Gospel Of John,amazon,,
415,Movie415,The Gospel of Eureka,amazon,,
416,Movie416,The Gospel Live,amazon,,
417,Movie417,The Giant Killer: Finding Flaherty The Directors Cut,amazon,,
418,Movie418,The Giant,amazon,,
419,Movie419,The Ghost Army,amazon,,
420,Movie420,The Gay Ranchero,amazon,,
421,Movie421,The Gambler,amazon,,
422,Movie422,The Front,amazon,,
423,Movie423,The Forbidden Dance,amazon,,"$1,823,154"
424,Movie424,The Flying Deuces,amazon,,
425,Movie425,The Flaw,amazon,,
426,Movie426,The First American,amazon,,
427,Movie427,The Fighting Kentuckian,amazon,,"$1,550,000"
428,Movie428,The Fidel Castro Tapes,amazon,,
429,Movie429,The Fatal Hour,amazon,,
430,Movie430,The Farewell (4K UHD),amazon,,
431,Movie431,The Fare,amazon,,
432,Movie432,The Far Frontier,amazon,,
433,Movie433,The Falls,amazon,,
434,Movie434,The Face of Jesus Christ,amazon,,
435,Movie435,The Fabulous Allan Carr,amazon,,
436,Movie436,The Extraordinary Journey of the Fakir,amazon,$20 million,$3.26 million
437,Movie437,The Endless Summer,amazon,"$50,000",$20 million
438,Movie438,The End of the World,amazon,,
439,Movie439,The Elephant Man,amazon,,
440,Movie440,The Education Of Little Tree,amazon,,
441,Movie441,The Eagle (No Dialog),amazon,,
442,Movie442,The Dying of the Light,amazon,,
443,Movie443,The Dragon Pearl,amazon,,
444,Movie444,The Double Born,amazon,,
445,Movie445,The Donkey King,amazon,,
446,Movie446,The Dead Center,amazon,,
447,Movie447,The Days of Noah: The Valley of Decision - Part 3 of 4,amazon,,
448,Movie448,The Days of Noah: Judgment Hour - Part 2 of 4,amazon,,
449,Movie449,The Dawn Express,amazon,,
450,Movie450,The Dark Red,amazon,,
451,Movie451,The Curse of Robert,amazon,,
452,Movie452,The Curse Of Hobbes House,amazon,,
453,Movie453,The Curse of Buckout Road,amazon,,
454,Movie454,The Creepy Line,amazon,,
455,Movie455,The Creeping Flesh,amazon,,
456,Movie456,The Cowboy And The Senorita,amazon,,
457,Movie457,The Cowboy and The Lady,amazon,,
458,Movie458,The Coverup,amazon,,
459,Movie459,The Court Jester,amazon,$4 million,$2.2 million (US)
460,Movie460,The Courageous Dr. Christian,amazon,,
461,Movie461,The Count of Monte Cristo,amazon,,
462,Movie462,The Cotton Pickin Truth Still On The Plantation,amazon,,
463,Movie463,The Corrupted,amazon,,"$152,434"
464,Movie464,The Confessor,amazon,,
465,Movie465,The Competition,amazon,,
466,Movie466,The Collector,amazon,,
467,Movie467,The Cleansing,amazon,,
468,Movie468,The Christmas Lodge,amazon,,
469,Movie469,The Christmas Elves,amazon,,
470,Movie470,The Christmas Candle,amazon,,$2.5 million
471,Movie471,The Changeling,amazon,,
472,Movie472,The Capture,amazon,,
473,Movie473,The Bumble Nums - Season 4,amazon,,
474,Movie474,The Bridgewater Triangle,amazon,,
475,Movie475,The Bridges at Toko-Ri,amazon,,$4.7 million (US/Canada 
476,Movie476,The Bray Road Beast,amazon,,
477,Movie477,THE BRANCH,amazon,,
478,Movie478,The Boys of St. Vincent,amazon,,
479,Movie479,The Black Velvet Gown,amazon,,
480,Movie480,The Black Kungfu Experience,amazon,,
481,Movie481,The Black Candle,amazon,,
482,Movie482,The Bishop's Wife,amazon,,$3 million (US rentals)
483,Movie483,The Bigamist,amazon,,
484,Movie484,The Big Sleep,amazon,,
485,Movie485,The Big Cat,amazon,,
486,Movie486,"The Big Black Comedy Show, Vol. 5",amazon,,
487,Movie487,The Benefactor,amazon,,
488,Movie488,The Beckoning Silence,amazon,,
489,Movie489,The Beautician And The Beast,amazon,,
490,Movie490,The Beastmaster,amazon,$9 million,$14.1 million
491,Movie491,The Beach Boys: An American Band,amazon,,
492,Movie492,The Basket,amazon,,
493,Movie493,The Band's Visit,amazon,,$14.6 million
494,Movie494,The Astral Factor,amazon,,
495,Movie495,The Asian Connection,amazon,,
496,Movie496,The Ash Lad: In Search of the Golden Castle,amazon,,
497,Movie497,The Art of War II: Betrayal,amazon,"$13,300,000",
498,Movie498,The Appleseed Cast,amazon,,
499,Movie499,The Annuals,amazon,,
500,Movie500,The Angry Red Planet,amazon,"$200,000",
501,Movie501,The Amish Shunned,amazon,,
502,Movie502,The Amish and the Reformation,amazon,,
503,Movie503,The Amazing Adventure,amazon,,
504,Movie504,The African Queen,amazon,,
505,Movie505,The Affairs of Cappy Ricks,amazon,,
506,Movie506,The Admiral Was A Lady,amazon,,
507,Movie507,"The 5th King- Iran ""The Blade"" Barkley Story",amazon,,
508,Movie508,The 36th Chamber of Shaolin,amazon,,
509,Movie509,That Uncertain Feeling,amazon,,
510,Movie510,That Sugar Film,amazon,,$1.5 million
511,Movie511,Thappad (4K UHD),amazon,,
512,Movie512,Thappad,amazon,,
513,Movie513,Thao and the Get Down Stay Down,amazon,,
514,Movie514,Texas Legionaires,amazon,,
515,Movie515,Testing title - Parichey is using this title,amazon,,
516,Movie516,Terrordactyl,amazon,,
517,Movie517,Terror By Night,amazon,,
518,Movie518,Tennessee Queer,amazon,,
519,Movie519,Tenkai Knights - Rise of the Knights,amazon,,
520,Movie520,Templar Nation,amazon,,
521,Movie521,Tel Aviv On Fire,amazon,,
522,Movie522,Teenkahon,amazon,,
523,Movie523,Teenage Bank Heist,amazon,,
524,Movie524,Teen Lust,amazon,,
525,Movie525,Tear the Roof Off: The Untold Story of Parliament Funkadelic,amazon,,
526,Movie526,"Team Hot Wheels, Skills to Thrill",amazon,,
527,Movie527,"Team Hot Wheels, Build the Epic Race",amazon,,
528,Movie528,Tattoo Nation,amazon,,
529,Movie529,Tarzan The Fearless,amazon,,
530,Movie530,Tarzan And The Trappers,amazon,,
531,Movie531,Target for Tonight,amazon,,
532,Movie532,TAN,amazon,,
533,Movie533,Tamizh Padam 2,amazon,,
534,Movie534,Tamara,amazon,,
535,Movie535,Tall Firs,amazon,,
536,Movie536,Taking 5,amazon,,
537,Movie537,Takatak,amazon,,
538,Movie538,"Tad, The Lost Explorer And The Secret Of King Midas",amazon,,
539,Movie539,T-Rex Ranch Dinosaur Adventures,amazon,,
540,Movie540,Symphony to Rushing Water,amazon,,
541,Movie541,Symphony to Iceland's Gulfoss Waterfall,amazon,,
542,Movie542,Symphony to Flowers,amazon,,
543,Movie543,Symphony in Colorado,amazon,,
544,Movie544,Sye Raa Narasimha Reddy (Telugu),amazon,,
545,Movie545,Sye Raa Narasimha Reddy (Tamil),amazon,,
546,Movie546,Sye Raa Narasimha Reddy (Malayalam),amazon,,
547,Movie547,Sye Raa Narasimha Reddy (Hindi),amazon,,
548,Movie548,Swing Hostess,amazon,,
549,Movie549,Swing and Dance with Little Baby Bum,amazon,,
550,Movie550,Survivors Guide to Prison,amazon,,
551,Movie551,"Superfish: Billfish, with David Attenborough",amazon,,
552,Movie552,Super Size Me 2: Holy Chicken!,amazon,,
553,Movie553,Super Size Me,amazon,"$65,000",$22.2 million
554,Movie554,Super JoJo - Yes Yes Vegetables Song,amazon,,
555,Movie555,Supa Strikas - Keep Calm and Soccer On,amazon,,
556,Movie556,"Supa Strikas - Eat, Sleep, Play Soccer",amazon,,
